months since December 1979,North Spit,Crescent City
221,0.14125,0.09675
222,0.141583333,0.096416667
223,0.13925,0.093083333
224,0.13175,0.085166667
225,0.127,0.080583333
226,0.115583333,0.069416667
227,0.098833333,0.0555
228,0.07525,0.034333333
229,0.048833333,0.006666667
230,0.024083333,-0.017
231,0.020583333,-0.018166667
232,0.010916667,-0.027166667
233,-0.00325,-0.040083333
234,-0.011833333,-0.04725
235,-0.015,-0.048416667
236,-0.017083333,-0.049333333
237,-0.020583333,-0.05375
238,-0.0215,-0.05575
239,-0.024,-0.060083333
240,-0.023666667,-0.059583333
241,-0.02025,-0.0565
242,-0.009,-0.047083333
243,-0.01725,-0.060083333
244,-0.010583333,-0.054083333
245,-0.002666667,-0.04725
246,0.00525,-0.04075
247,0.007416667,-0.04025
248,0.007416667,-0.041666667
249,0.009416667,-0.041833333
250,0.013916667,-0.038666667
251,0.007833333,-0.045583333
252,0.0135,-0.042583333
253,0.013833333,-0.044583333
254,0.001416667,-0.0615
255,0.004083333,-0.058916667
256,-0.001416667,-0.06575
257,-0.00325,-0.069416667
258,-0.01025,-0.0775
259,-0.01075,-0.078583333
260,-0.010083333,-0.0795
261,-0.0095,-0.079
262,-0.010583333,-0.080166667
263,-0.000416667,-0.071166667
264,0.006,-0.062666667
265,0.00425,-0.06375
266,0.004833333,-0.06125
267,0.00525,-0.060166667
268,0.00775,-0.057333333
269,0.0045,-0.05975
270,0.003333333,-0.061083333
271,0.005916667,-0.059916667
272,0.009666667,-0.05625
273,0.012333333,-0.052333333
274,0.01325,-0.052
275,0.014083333,-0.05025
276,0.028083333,-0.03475
277,0.039,-0.023
278,0.042666667,-0.0205
279,0.043333333,-0.01775
280,0.05525,-0.00425
281,0.059916667,-0.000416667
282,0.0655,0.005333333
283,0.063666667,0.00425
284,0.0675,0.008416667
285,0.066916667,0.006916667
286,0.070916667,0.010666667
287,0.06725,0.004916667
288,0.06175,-0.002833333
289,0.06225,-0.003333333
290,0.067583333,0.003583333
291,0.068083333,0.00175
292,0.05975,-0.0075
293,0.062166667,-0.005166667
294,0.06275,-0.0055
295,0.067666667,-0.00125
296,0.065666667,-0.003916667
297,0.065416667,-0.004833333
298,0.06675,-0.002333333
299,0.063416667,-0.007083333
300,0.058,-0.014
301,0.061166667,-0.012166667
302,0.060833333,-0.015333333
303,0.069666667,-0.005416667
304,0.072666667,-0.003
305,0.079416667,0.00575
306,0.079083333,0.006416667
307,0.078916667,0.0065
308,0.078666667,0.007
309,0.075333333,0.0045
310,0.07025,-0.000833333
311,0.070833333,0.001083333
312,0.07575,0.006916667
313,0.07025,0.0035
314,0.062333333,-0.004583333
315,0.06525,-0.001083333
316,0.07475,0.00825
317,0.06975,0.001333333
318,0.072333333,0.004
319,0.071833333,0.00375
320,0.072666667,0.004166667
321,0.0745,0.005916667
322,0.077583333,0.00825
323,0.081583333,0.014833333
324,0.07475,0.0075
325,0.06225,-0.009333333
326,0.0645,-0.007166667
327,0.047916667,-0.026833333
328,0.03125,-0.043083333
329,0.0245,-0.05025
330,0.019666667,-0.0565
331,0.019,-0.057666667
332,0.01825,-0.058083333
333,0.01975,-0.057416667
334,0.017416667,-0.05875
335,0.012333333,-0.066083333
336,0.004,-0.074416667
337,0.015333333,-0.0605
338,0.012,-0.063416667
339,0.0085,-0.066083333
340,0.006333333,-0.069166667
341,0.007583333,-0.068416667
342,0.00825,-0.06775
343,0.0115,-0.064416667
344,0.014333333,-0.06325
345,0.016416667,-0.061583333
346,0.013833333,-0.06625
347,0.017416667,-0.063666667
348,0.0235,-0.059166667
349,0.012,-0.072416667
350,0.02025,-0.064333333
351,0.028833333,-0.055166667
352,0.028833333,-0.056833333
353,0.031833333,-0.05325
